id	latitude	longitude	location_name	price	bedrooms	bathrooms	size_m2	property_type	condition	year_built	distance_to_center_km	near_school	near_hospital	near_market	parking	security_rating	furnished	listing_type	agent_id	days_on_market
1	9.636744	41.870873	Sabian	4324071	1	3	125	Studio	New	2007	2.8	No	No	Yes	No	2	Furnished	Sale	102	11
2	9.632446	41.832986	Industrial Zone	1637276	5	3	77	Studio	New	2018	4.99	No	No	No	Yes	3	Semi	Sale	104	26
3	9.593053	41.841761	Melka Jebdu	4579312	2	3	144	Apartment	New	2014	1.35	No	No	Yes	No	4	Furnished	Rent	106	6
4	9.634732	41.834128	Industrial Zone	4494470	2	3	190	House	New	2021	1.7	No	Yes	Yes	Yes	3	Unfurnished	Sale	106	40
5	9.636018	41.853707	Kezira	6591341	1	3	168	Apartment	Old	2014	1.03	Yes	Yes	No	Yes	2	Unfurnished	Sale	102	34
6	9.587005	41.860961	Kezira	6972195	5	3	182	Studio	Old	2021	2.91	Yes	No	No	Yes	1	Furnished	Rent	110	10
7	9.617668	41.842683	Kezira	4999973	2	3	119	Studio	New	2010	2	Yes	No	Yes	No	3	Unfurnished	Sale	103	6
8	9.592726	41.877824	Melka Jebdu	4147338	4	2	143	House	Good	2012	4.66	No	Yes	No	Yes	4	Semi	Rent	103	46
9	9.5841	41.858168	Industrial Zone	2699530	4	1	122	Apartment	New	2008	2	Yes	No	No	Yes	3	Unfurnished	Rent	106	55
10	9.582581	41.844234	Addis Ketema	3185632	3	3	85	Apartment	Old	2008	5.35	No	No	No	No	4	Unfurnished	Sale	106	53
11	9.587802	41.85893	Sabian	2114541	2	1	76	Studio	Good	2020	3.83	Yes	No	No	No	3	Furnished	Rent	100	19
12	9.608176	41.853493	Addis Ketema	6572941	3	1	170	House	Old	2012	2.29	No	No	No	No	1	Furnished	Rent	109	25
13	9.6001	41.859186	Kezira	7589757	4	1	174	House	Good	2011	1.41	Yes	No	Yes	Yes	3	Unfurnished	Rent	101	16
14	9.635105	41.876824	Goro	6336520	5	1	210	Apartment	Old	2006	6.68	Yes	No	No	Yes	5	Unfurnished	Sale	103	38
15	9.632981	41.853127	Sabian	2490198	5	2	76	House	Good	2024	5.56	Yes	Yes	Yes	No	1	Furnished	Sale	108	19
16	9.630776	41.856864	Kezira	4457982	1	2	116	Studio	Old	2013	3.41	Yes	Yes	No	Yes	4	Unfurnished	Sale	105	53
17	9.594267	41.85872	Industrial Zone	4695719	2	3	197	House	New	2016	1.32	Yes	Yes	Yes	Yes	2	Furnished	Rent	105	34
18	9.603558	41.889834	Sabian	5006957	2	3	170	House	Old	2015	1.54	Yes	Yes	No	No	4	Semi	Rent	104	24
19	9.615198	41.869313	Industrial Zone	1613711	2	3	75	Studio	Good	2022	4.28	Yes	No	No	No	3	Semi	Rent	105	12
20	9.596768	41.862444	Sabian	4589866	5	3	157	Studio	Good	2013	6.53	Yes	Yes	No	Yes	1	Unfurnished	Sale	108	27
21	9.61227	41.885192	Industrial Zone	4044331	5	1	186	Apartment	Good	2018	4.82	Yes	No	No	Yes	4	Unfurnished	Rent	104	10
22	9.630216	41.865404	Goro	3321751	2	3	96	Studio	Good	2016	4.94	Yes	Yes	Yes	Yes	1	Furnished	Sale	108	26
23	9.595702	41.838697	Melka Jebdu	3364363	4	3	117	House	Good	2019	4.76	Yes	No	No	Yes	2	Semi	Rent	108	5
24	9.63771	41.85723	Industrial Zone	4415254	5	3	213	Studio	Good	2019	2.81	Yes	No	No	Yes	1	Furnished	Sale	106	1
25	9.636818	41.834496	Melka Jebdu	4434076	2	1	132	Apartment	Good	2015	4.31	No	Yes	Yes	Yes	4	Furnished	Sale	104	6
26	9.581023	41.871022	Goro	3850238	1	2	133	Apartment	Old	2021	3.02	No	No	No	No	4	Unfurnished	Sale	104	6
27	9.611169	41.849699	Industrial Zone	1453854	1	3	74	Studio	Old	2023	4.1	Yes	Yes	No	Yes	4	Unfurnished	Rent	110	4
28	9.586573	41.868723	Sabian	3059850	3	3	90	Apartment	Good	2010	6.87	No	Yes	Yes	Yes	1	Furnished	Sale	100	11
29	9.602144	41.874455	Sabian	4199756	3	3	138	Studio	Good	2006	6.95	No	No	No	Yes	5	Furnished	Sale	106	24
30	9.599988	41.854376	Addis Ketema	1729059	1	3	51	House	New	2018	5.94	No	No	No	No	5	Unfurnished	Rent	106	43
31	9.629799	41.833444	Addis Ketema	2479738	4	2	68	Studio	Old	2005	6.28	No	Yes	No	Yes	5	Semi	Rent	101	13
32	9.590207	41.88405	Melka Jebdu	4230409	3	1	127	House	Good	2012	3.9	Yes	Yes	Yes	No	2	Unfurnished	Sale	101	36
33	9.628683	41.871089	Industrial Zone	1384952	3	2	75	Studio	New	2009	2.29	No	Yes	No	No	4	Semi	Rent	105	59
34	9.612241	41.864647	Goro	6116064	2	2	187	House	New	2020	2.64	Yes	No	Yes	No	2	Unfurnished	Rent	105	7
35	9.601256	41.836811	Addis Ketema	6912126	2	1	171	Apartment	Old	2013	3.75	No	No	Yes	Yes	5	Semi	Rent	108	23
36	9.582519	41.841046	Addis Ketema	4847504	4	1	114	Apartment	Old	2006	4.2	No	No	Yes	Yes	3	Unfurnished	Rent	109	10
37	9.621038	41.861936	Sabian	6150853	5	2	209	House	Good	2011	5.11	Yes	Yes	No	Yes	2	Semi	Sale	109	12
38	9.599359	41.8421	Goro	5232739	3	1	178	House	Good	2016	5.61	No	No	No	Yes	3	Unfurnished	Sale	106	37
39	9.588692	41.830026	Kezira	7143509	5	2	184	Apartment	New	2014	1.4	Yes	Yes	No	No	1	Unfurnished	Rent	105	27
40	9.616077	41.862302	Melka Jebdu	3000428	4	1	105	House	Old	2020	6.57	Yes	Yes	No	Yes	4	Unfurnished	Sale	103	10
41	9.584363	41.842229	Sabian	4179183	3	2	137	Studio	Good	2013	3.77	Yes	No	No	No	5	Furnished	Rent	106	27
42	9.582659	41.850162	Melka Jebdu	6539146	2	2	218	House	New	2010	3.49	No	Yes	No	No	1	Furnished	Sale	110	33
43	9.61375	41.839225	Sabian	5331551	2	3	167	Apartment	Good	2011	5.81	No	Yes	Yes	No	1	Unfurnished	Sale	107	15
44	9.588318	41.839056	Addis Ketema	2619129	5	3	61	Studio	New	2015	3.77	No	Yes	Yes	Yes	1	Semi	Sale	106	6
45	9.594663	41.845209	Goro	4835430	5	1	156	Studio	Old	2007	6.19	Yes	Yes	No	Yes	1	Unfurnished	Sale	105	39
46	9.596726	41.876087	Goro	5152520	2	1	153	House	Good	2011	6.62	No	Yes	Yes	Yes	3	Semi	Rent	107	59
47	9.601383	41.879939	Addis Ketema	7515677	4	3	186	Apartment	Good	2005	5.04	No	Yes	Yes	No	3	Furnished	Sale	109	28
48	9.614129	41.858616	Sabian	5928991	2	2	180	Studio	New	2020	6.84	Yes	Yes	Yes	No	4	Furnished	Sale	109	25
49	9.603592	41.880901	Addis Ketema	4032436	5	3	108	House	New	2006	3.29	Yes	No	No	No	1	Furnished	Rent	107	35
50	9.619158	41.857623	Addis Ketema	7671482	3	2	183	Studio	Good	2022	4.96	Yes	No	Yes	Yes	3	Unfurnished	Rent	107	5
51	9.59805	41.886438	Goro	2963008	5	3	105	Apartment	Old	2016	5.35	Yes	Yes	No	Yes	4	Furnished	Rent	102	32
52	9.591659	41.853948	Sabian	5425930	3	2	168	House	Good	2010	5.18	Yes	No	Yes	No	4	Semi	Rent	105	18
53	9.583946	41.840011	Sabian	3437334	1	3	108	Apartment	Good	2019	1.77	No	No	Yes	No	5	Unfurnished	Rent	102	55
54	9.583404	41.867414	Goro	5012251	2	1	171	Studio	New	2017	3.12	No	Yes	No	No	2	Unfurnished	Rent	104	24
55	9.616522	41.859489	Goro	3786739	4	2	115	Studio	Old	2009	2.9	Yes	Yes	Yes	Yes	4	Semi	Rent	104	18
56	9.632731	41.884994	Goro	2968392	1	3	95	Apartment	Old	2018	4.39	No	Yes	No	Yes	5	Semi	Sale	107	33
57	9.609685	41.880172	Addis Ketema	6214616	3	2	161	Apartment	Good	2017	1.81	No	Yes	No	No	1	Furnished	Sale	109	50
58	9.613449	41.853046	Industrial Zone	3729663	2	1	160	Apartment	New	2011	1.69	Yes	Yes	Yes	No	5	Semi	Sale	102	47
59	9.616003	41.883673	Addis Ketema	2128045	4	2	53	Apartment	Good	2007	2.53	Yes	Yes	No	No	2	Furnished	Rent	108	11
60	9.632144	41.843659	Goro	4369621	1	1	143	House	New	2014	4.4	No	No	No	Yes	5	Unfurnished	Sale	109	44
61	9.597353	41.878741	Melka Jebdu	3103087	5	3	88	Studio	Good	2021	2.99	Yes	Yes	Yes	No	1	Furnished	Rent	107	57
62	9.611701	41.85231	Melka Jebdu	4527779	5	1	149	House	Good	2008	5.82	Yes	Yes	No	No	1	Furnished	Sale	105	53
63	9.605595	41.832567	Industrial Zone	3396321	3	1	162	House	Old	2007	6.26	Yes	Yes	No	Yes	1	Semi	Sale	110	14
64	9.608814	41.859945	Addis Ketema	6759312	5	2	160	Studio	New	2021	4.26	No	Yes	Yes	No	1	Furnished	Sale	103	41
65	9.581127	41.884949	Sabian	5658793	1	2	187	House	Good	2013	1.58	Yes	Yes	No	Yes	3	Furnished	Sale	109	34
66	9.585759	41.870156	Addis Ketema	5307273	5	2	137	House	Old	2005	5.31	No	Yes	No	No	1	Furnished	Sale	107	36
67	9.637003	41.874909	Melka Jebdu	3831110	5	1	127	Studio	Good	2005	3.15	No	No	No	No	3	Semi	Sale	107	18
68	9.61043	41.879995	Addis Ketema	3615117	4	2	93	House	Good	2009	1.55	No	Yes	No	No	2	Furnished	Rent	102	24
69	9.581068	41.843587	Melka Jebdu	1922627	2	2	61	Apartment	Good	2017	5.28	Yes	No	No	No	4	Unfurnished	Sale	102	28
70	9.628707	41.874726	Goro	5896521	3	2	179	Apartment	Old	2009	2.42	Yes	Yes	Yes	No	5	Semi	Rent	102	52
71	9.620658	41.869372	Kezira	4054040	3	3	91	Apartment	Old	2022	4.96	Yes	No	Yes	No	1	Semi	Rent	106	48
72	9.617856	41.88558	Addis Ketema	3849294	3	1	92	Apartment	New	2010	4.69	No	Yes	Yes	No	5	Semi	Sale	108	19
73	9.613123	41.844049	Goro	3763601	2	2	116	Apartment	Old	2024	4.31	Yes	Yes	Yes	Yes	2	Furnished	Rent	101	55
74	9.60799	41.841301	Goro	7020837	5	3	211	Studio	Good	2019	4.34	Yes	Yes	Yes	No	5	Semi	Sale	102	53
75	9.630587	41.85159	Sabian	1833146	3	1	59	House	New	2022	3.81	Yes	No	No	No	2	Semi	Sale	106	25
76	9.633324	41.876844	Industrial Zone	1561179	1	3	70	Studio	Good	2012	2.41	No	Yes	No	Yes	2	Unfurnished	Sale	104	50
77	9.615097	41.887034	Sabian	3566249	5	3	117	Studio	New	2017	6.42	No	No	No	No	4	Unfurnished	Rent	110	26
78	9.582507	41.850754	Goro	2925618	1	2	100	Apartment	Good	2020	3.33	No	No	No	Yes	2	Unfurnished	Rent	102	57
79	9.580876	41.876519	Industrial Zone	3536590	2	3	173	House	Good	2021	2.22	No	Yes	No	Yes	1	Semi	Rent	101	39
80	9.63317	41.876937	Sabian	3252428	4	1	101	House	Old	2012	5.32	Yes	No	Yes	No	4	Furnished	Rent	102	41
81	9.605041	41.843848	Melka Jebdu	4491929	3	3	154	Apartment	Good	2005	5.55	Yes	No	No	No	5	Unfurnished	Sale	100	57
82	9.606603	41.856132	Melka Jebdu	2643266	4	3	84	Studio	Old	2023	2.29	No	No	Yes	No	3	Semi	Rent	103	50
83	9.629442	41.848098	Addis Ketema	4966335	2	3	116	Apartment	New	2010	5.9	No	Yes	Yes	Yes	3	Furnished	Rent	105	34
84	9.617217	41.873415	Goro	1436521	2	1	52	Apartment	New	2014	3.57	No	Yes	No	No	4	Semi	Sale	108	59
85	9.581666	41.839725	Melka Jebdu	5518982	4	1	184	Studio	Old	2009	1.77	Yes	Yes	No	Yes	2	Unfurnished	Rent	102	30
86	9.623102	41.885292	Addis Ketema	5588244	1	2	138	Studio	New	2023	4.84	No	No	Yes	Yes	5	Furnished	Sale	104	37
87	9.595394	41.882152	Addis Ketema	6897684	3	2	189	Apartment	Good	2009	6.05	No	Yes	No	No	3	Furnished	Rent	102	18
88	9.613956	41.845995	Addis Ketema	8385418	1	2	220	Studio	Good	2012	3.91	Yes	No	No	No	4	Furnished	Rent	107	42
89	9.626986	41.834727	Sabian	4230017	4	2	135	House	New	2017	4.84	Yes	Yes	No	No	3	Semi	Sale	105	50
90	9.594777	41.86017	Addis Ketema	8110577	1	1	219	House	Old	2010	4.14	Yes	No	No	Yes	4	Furnished	Sale	103	5
91	9.585755	41.870189	Melka Jebdu	2535234	4	1	74	House	Old	2008	1.45	Yes	Yes	Yes	No	2	Semi	Sale	105	41
92	9.59753	41.833516	Goro	4859328	1	2	145	House	Old	2008	5.22	Yes	Yes	Yes	Yes	1	Unfurnished	Sale	106	12
93	9.601008	41.860639	Addis Ketema	4766723	2	3	129	Apartment	Good	2023	4.21	Yes	Yes	No	Yes	1	Furnished	Rent	101	55
